ts_code,end_date,bz_item,0
300182.SZ,20181231,影视剧,6
300182.SZ,20181231,其他主营业务,5
002052.SZ,20181231,平台交付及运维,5
300182.SZ,20181231,音视频整体解决方案,5
600196.SH,20181231,其他业务,5
000961.SZ,20181231,内部抵销,5
601607.SH,20200630,内部抵销,5
000712.SZ,20210630,资产管理业务,4
300027.SZ,20181231,其他业务,4
300027.SZ,20181231,内部抵销,4
000712.SZ,20210630,证券投资业务,4
601258.SH,20181231,汽车销售-乘用车,4
000712.SZ,20210630,结构化主体业务,4
000712.SZ,20210630,私募基金业务,4
000712.SZ,20210630,总部其他,4
600602.SH,20201231,内部抵销,4
300182.SZ,20201231,影视剧,4
002500.SZ,20181231,未分配金额,4
002500.SZ,20181231,证券投资业务,4
000100.SZ,20210630,其他业务,4
002673.SZ,20210630,内部抵销,4
002673.SZ,20210630,总部及其他,4
002230.SZ,20200630,其他业务,4
601258.SH,20181231,汽车销售-微面,4
601258.SH,20181231,汽车销售-卡车,4
002052.SZ,20181231,有线电视接入设备,4
000963.SZ,20191231,分部间抵销,4
002052.SZ,20151231,其他业务,4
002052.SZ,20151231,其他设备,4
002052.SZ,20151231,卫星电视用户终端设备,4
002122.SZ,20191231,其他业务,4
002052.SZ,20151231,有线电视接入设备,4
002052.SZ,20181231,其他业务,4
600724.SH,20200630,其他业务,4
000725.SZ,20191231,内部抵销,4
002426.SZ,20181231,其他业务,4
600780.SH,20210630,火力发电产品,4
600438.SH,20181231,内部抵销,4
600596.SH,20200630,内部抵销,4
600748.SH,20201231,酒店经营收入,4
600748.SH,20210630,其他业务,4
000686.SZ,20201231,其他主营业务,4
600748.SH,20210630,酒店经营收入,4
000550.SZ,20200630,汽车保养服务,4
600085.SH,20200630,其他业务,4
600350.SH,20191231,内部抵销,4
002120.SZ,20201231,中转费,4
600269.SH,20201231,其他业务,4
000629.SZ,20210630,其他业务,4
600637.SH,20200630,游戏,4
601878.SH,20210630,内部抵销,4
000572.SZ,20200630,汽车制造,4
002032.SZ,20141231,其他业务,4
600637.SH,20200630,互联网电视,4
002052.SZ,20210630,加工,3
600108.SH,20191231,其他业务,3
601928.SH,20181231,内部抵销,3
