ts_code,end_date,bz_item
600000.SH,20220630,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20220630,利息收入:买入返售金融资产(产品)
600000.SH,20220630,利息收入:拆出资金(产品)
600000.SH,20220630,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20220630,利息收入:其他债权投资(产品)
600000.SH,20220630,利息收入:债权投资(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20220630,利息收入:存放中央银行款项(产品)
600000.SH,20220630,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20220630,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20220630,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20211231,利息收入:拆出资金(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20211231,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20211231,利息收入:买入返售金融资产(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20211231,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20211231,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20211231,利息收入:存放中央银行款项(产品)
600000.SH,20211231,利息收入:债权投资(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20211231,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20211231,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20211231,利息收入:其他债权投资(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20210630,利息收入:其他债权投资(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20210630,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20210630,利息收入:债权投资(产品)
600000.SH,20210630,利息收入:拆出资金(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20210630,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20210630,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20210630,利息收入:买入返售金融资产(产品)
600000.SH,20210630,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20210630,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20210630,利息收入:存放中央银行款项(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20201231,利息收入:存放中央银行款项(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20201231,利息收入:买入返售金融资产(产品)
600000.SH,20201231,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20201231,利息收入:债权投资(产品)
600000.SH,20201231,利息收入:债权投资(产品)
600000.SH,20201231,利息收入:买入返售金融资产(产品)
600000.SH,20201231,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20201231,利息收入:拆出资金(产品)
600000.SH,20201231,利息收入:其他债权投资(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20201231,利息收入:拆出资金(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20201231,利息收入:其他债权投资(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20201231,利息收入:存放中央银行款项(产品)
600000.SH,20201231,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20201231,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20200630,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20200630,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20200630,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20200630,利息收入:其他(产品)
600000.SH,20200630,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20200630,利息收入:买入返售金融资产(产品)
600000.SH,20200630,利息收入:租赁业务(产品)
600000.SH,20200630,利息收入:拆出资金(产品)
600000.SH,20200630,利息收入:存放中央银行款项(产品)
600000.SH,20200630,利息收入:其他债权投资(产品)
600000.SH,20200630,利息收入:债权投资(产品)
600000.SH,20200630,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20191231,利息收入:其他债权投资(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20191231,利息收入:拆出资金(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20191231,利息收入:租赁业务(产品)
600000.SH,20191231,利息收入:债权投资(产品)
600000.SH,20191231,利息收入:其他(产品)
600000.SH,20191231,利息收入:买入返售金融资产(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20191231,利息收入:存放中央银行款项(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20191231,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20191231,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20191231,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20191231,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20191231,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20190630,利息收入:债权投资(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20190630,利息收入:买入返售金融资产(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20190630,利息收入:租赁业务(产品)
600000.SH,20190630,利息收入:其他债权投资(产品)
600000.SH,20190630,利息收入:其他债权投资(产品)
600000.SH,20190630,利息收入:其他(产品)
600000.SH,20190630,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20190630,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20190630,利息收入:存放中央银行款项(产品)
600000.SH,20190630,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20190630,利息收入:债权投资(产品)
600000.SH,20190630,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20190630,利息收入:拆出资金(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20190630,非利息收入:手续费及佣金收入:担保承诺业务(产品)
600000.SH,20181231,利息收入:发放贷款及垫款:公司贷款业务(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:投行业务手续费(产品)
600000.SH,20181231,利息收入:债券投资(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:其他(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:结算业务(产品)
600000.SH,20181231,利息收入:拆出资金(产品)
600000.SH,20181231,利息收入:买入返售金融资产(产品)
600000.SH,20181231,利息收入:存放同业和其他金融机构款项(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:银行卡业务(产品)
600000.SH,20181231,非利息收入:手续费及佣金收入:代理委托业务(产品)
600000.SH,20181231,利息收入:发放贷款及垫款:个人贷款业务(产品)
600000.SH,20181231,利息收入:发放贷款及垫款:票据贴现业务(产品)
600000.SH,20181231,利息收入:存放中央银行款项(产品)
600001.SH,20090630,钢材、钢坯
600001.SH,20090630,化产品等
600001.SH,20090630,钢材钢坯
600001.SH,20081231,钢材、钢坯
600001.SH,20081231,钢材钢坯
600001.SH,20081231,化产品等
600001.SH,20080630,钢材、钢坯
600001.SH,20080630,化产品等
600001.SH,20080630,钢材钢坯
600001.SH,20071231,钢材、钢坯
600001.SH,20071231,钢材钢坯
600001.SH,20071231,化产品等
600001.SH,20070630,棒材
600001.SH,20070630,其他业务
600001.SH,20070630,2007中报、2006中报分产品
600001.SH,20070630,其他
600001.SH,20070630,板材
600001.SH,20061231,钢材钢坯
